G Pen Connect,49646,Other,,150.0,,G Pen,Eaze,
Air Vape X - Black,31655,,,127.5,,AirVape ,PEI Cannabis,
100mg THC Soft Gels,47518,Hybrid,100mg,100.0,,Absolute Xtracts,Eaze,
Dosecann CBD Oil,42313,CBD,1mg/ml,76.78,,Dosecann ,PEI Cannabis,
Advanced 3-Piece Grinder,49656,Grinder,,60.0,,Santa Cruz Shredder,Eaze,
relief 200 doses,47744,CBD,48%,60.0,,dosist,Eaze,
arouse 200 doses,47745,Hybrid,67%,60.0,,dosist,Eaze,
Cherry Lime - 1 Gram,47655,Hybrid,85%,60.0,,Heavy Hitters,Eaze,
Malibu OG - 1 Gram,47651,Indica,87%,60.0,,Heavy Hitters,Eaze,
Jack Herer - 1 Gram,49606,Sativa,85%,60.0,,Heavy Hitters,Eaze,
Spirit Qwest Wedding Breath,31665,Hybrid,15.00 - 25.00,57.4,,Qwest Reserve ,PEI Cannabis,
GOLD Maui Wowie - 1 Gram,47642,Sativa,80%,55.0,,Jetty,Eaze,
GOLD Alien OG - 1 Gram,47639,Hybrid,79%,55.0,,Jetty,Eaze,
GOLD Grand Daddy Purps - 1 Gram,47640,Indica,81%,55.0,,Jetty,Eaze,
Rise,31532,Sativa,25mg/ml,52.17,,Cove ,PEI Cannabis,
Reflect,31528,Hybrid,25mg/ml,52.17,,Cove ,PEI Cannabis,
Orangeade,51574,Hybrid,21%,49.0,,Island,Eaze,
Guava,51572,Sativa,26%,49.0,,Island,Eaze,
White Tahoe Cookies,51573,Indica,24%,49.0,,Island,Eaze,
Extra Strength Body Spray,49608,CBD,50mg,48.0,,Apothecanna,Eaze,
7 ACRES Jack Haze,42429,Hybrid,19.00 - 24.00,46.96,,7ACRES ,PEI Cannabis,
Twd. Indica,44363,Blend,10.00 - 25.00,46.78,,Twd. ,PEI Cannabis,
Meridian,31647,Sativa,17.00 - 28.00,45.65,,Up ,PEI Cannabis,
PAX Era Cherry Lime,47712,Hybrid,85%,45.0,,Heavy Hitters,Eaze,
PAX Era Pineapple Express,47711,Hybrid,85%,45.0,,Heavy Hitters,Eaze,
PAX Era Northern Lights,47709,Indica,85%,45.0,,Heavy Hitters,Eaze,
PAX Era Jack Herer,47710,Sativa,85%,45.0,,Heavy Hitters,Eaze,
PR OG Preroll 14-Pack,49609,Indica,18%,40.0,,Pacific Stone,Eaze,
Lemon Preroll 14-Pack,49610,Sativa,14%,40.0,,Pacific Stone,Eaze,
PAX Era AK47 Elevate Sauce Pod,47708,Hybrid,76%,40.0,,Happy Sticks,Eaze,
PAX Era Blackberry Kush Elevate Sauce Pod,47706,Indica,75%,40.0,,Happy Sticks,Eaze,
PAX Era XJ13 Elevate Sauce Pod,47707,Sativa,76%,40.0,,Happy Sticks,Eaze,
PAX Era Anytime,47705,Hybrid,79%,40.0,,Bloom Farms,Eaze,
PAX Era Nighttime,47703,Indica,67%,40.0,,Bloom Farms,Eaze,
PAX Era Daytime,47704,Sativa,65%,40.0,,Bloom Farms,Eaze,
Gelato - 1 Gram,47638,Hybrid,81%,40.0,,Kingpen,Eaze,
Jilly Bean - 1 Gram,47637,Hybrid,83%,40.0,,Kingpen,Eaze,
DNA Genetics Sour Kush,42857,Indica,15.00 - 25.00,39.99,,DNA Genetics ,PEI Cannabis,
Purple Chitral,31638,Indica,17.00 - 21.00,39.72,,Woodstock ,PEI Cannabis,
Sensi Star,40736,Indica,17.00 - 25.00,39.1,,7ACRES ,PEI Cannabis,
Ritual Essential CBD,49605,CBD,,39.0,,Elite California,Eaze,
Indica Preroll 6-Pack,49616,Indica,21%,39.0,,THC Design,Eaze,
Hybrid Preroll 6-Pack,49618,Hybrid,12%,39.0,,THC Design,Eaze,
FUEGO High Potency Drops,51414,Hybrid,740mg,39.0,,Fuego,Eaze,
Midnight Berry - 0.5 Gram,47670,Indica,70%,39.0,,dompen,Eaze,
Pineapple Coast - 0.5 Gram,47672,Hybrid,70%,39.0,,dompen,Eaze,
Rockstar,51412,Hybrid,19%,39.0,,Occidental Hills,Eaze,
Purple Punch,47580,Indica,19%,39.0,,THC Design,Eaze,
