Word , Count
tragedie , 4
of , 298
hamlet , 54
by , 51
william , 2
shakespeare , 2
1599] , 2
 , 491
fran , 7
nay , 15
answer , 7
me , 105
stand , 10
& , 17
vnfold , 3
bar , 4
he , 113
you , 249
come , 56
most , 32
carefully , 2
vpon , 26
your , 118
houre , 3
'tis , 40
now , 48
strook , 2
twelue , 4
get , 6
thee , 25
to , 321
bed , 4
francisco , 2
for , 129
this , 133
releefe , 2
much , 26
thankes , 6
bitter , 3
cold , 4
not , 154
a , 236
mouse , 3
stirring , 2
barn , 7
well , 37
goodnight , 8
if , 55
do , 53
meet , 4
horatio , 21
and , 412
enter , 51
marcellus , 4
i , 269
thinke , 23
heare , 21
them , 33
who's , 2
there? , 4
fra , 2
barnardo , 3
ha's , 9
my , 232
place , 4
giue , 29
exit , 11
mar , 11
holla , 2
say , 23
what , 94
is , 163
will , 79
let , 34
beleefe , 2
take , 19
hold , 16
him , 94
therefore , 10
haue , 79
intreated , 2
along , 2
that , 177
againe , 16
apparition , 2
vs , 30
once , 10
assaile , 2
eares , 7
we , 63
two , 11
nights , 4
seene , 9
hor , 52
sit , 6
downe , 17
when , 27
yond , 2
same , 9
starre , 4
that's , 10
westward , 2
from , 39
the , 503
pole , 3
where , 26
it , 199
burnes , 3
selfe , 29
ghost , 8
looke , 19
comes , 17
in , 207
figure , 2
like , 32
king , 92
dead , 19
thou , 52
art , 10
scholler , 2
speake , 32
lookes , 5
king? , 3
marke , 6
hora , 6
harrowes , 2
with , 133
fear , 2
wonder , 2
together , 9
faire , 14
warlike , 3
forme , 5
did , 33
sometimes , 4
march , 2
heauen , 17
charge , 6
offended , 3
see , 26
stalkes , 2
away , 11
stay , 5
gone , 8
how , 46
horatio? , 3
tremble , 3
look , 4
pale , 5
on't? , 3
without , 9
sensible , 2
true , 13
auouch , 2
as , 92
thy , 53
th' , 13
ambitious , 2
norwey , 4
combatted , 2
smot , 2
sledded , 2
pollax , 2
on , 65
ice , 2
martiall , 2
stalke , 2
hath , 31
our , 64
watch , 4
particular , 4
thought , 8
work , 2
know , 35
boades , 2
some , 23
strange , 6
erruption , 2
state , 8
good , 46
tell , 22
knowes , 4
so , 88
nightly , 3
toyles , 2
subiect , 4
land , 3
forraigne , 2
mart , 2
implements , 2
warre , 2
do's , 4
diuide , 2
sunday , 2
weeke , 2
doth , 14
make , 24
night , 18
ioynt-labourer , 2
day , 7
can , 15
whose , 13
image , 4
euen , 16
but , 124
appear'd , 3
(thereto , 2
prick'd , 2
emulate , 2
pride) , 2
(for , 4
side , 3
knowne , 6
world , 16
esteem'd , 2
him) , 2
ratified , 2
law , 5
heraldrie , 2
which , 29
stood , 3
seiz'd , 2
conqueror , 2
was , 44
gaged , 2
had , 21
return'd , 4
bin , 3
vanquisher , 2
cou'nant , 2
his , 147
fell , 5
sir , 29
young , 7
fortinbras , 6
skirts , 2
norway , 3
heere , 29
there , 40
foode , 2
diet , 3
enterprize , 3
(and , 2
appeare , 2
vnto , 4
state) , 2
termes , 4
compulsatiue , 2
those , 12
foresaid , 2
lands , 3
maine , 4
motiue , 2
preparations , 2
post-hast , 2
romage , 2
ile , 32
crosse , 2
though , 13
blast , 3
illusion , 2
be , 103
any , 12
thing , 11
done , 14
priuy , 2
countries , 2
fate , 2
or , 59
hast , 15
vp-hoorded , 2
life , 13
they , 46
spirits , 5
oft , 8
walke , 6
death) , 2
wrong , 5
being , 8
maiesticall , 2
ayre , 8
invulnerable , 2
fearfull , 2
summons , 2
heard , 5
lofty , 2
shrill-sounding , 2
throate , 3
whether , 3
sea , 3
fire , 6
earth , 9
confine , 3
truth , 5
heerein , 4
sayes , 6
euer , 6
'gainst , 2
season , 3
bird , 2
dawning , 2
singeth , 2
all , 57
long , 5
are , 64
wholsome , 2
then , 61
no , 64
planets , 2
strike , 2
hallow'd , 2
gracious , 5
time , 23
part , 9
beleeue , 7
walkes , 2
o're , 5
dew , 2
yon , 2
high , 3
easterne , 2
hill , 4
impart , 3
spirit , 9
dumbe , 6
needfull , 3
loues , 5
fitting , 2
duty? , 2
shall , 54
finde , 6
conueniently , 2
exeunt , 15
scena , 3
secunda , 3
claudius , 2
denmarke , 8
gertrude , 4
queene , 22
laertes , 20
sister , 5
ophelia , 17
lords , 4
attendant , 4
yet , 17
deere , 16
brothers , 3
death , 17
beare , 8
hearts , 3
greefe , 5
whole , 5
kingdome , 5
farre , 7
discretion , 3
fought , 2
nature , 12
remembrance , 2
selues , 7
imperiall , 3
ioyntresse , 2
one , 19
auspicious , 2
dropping , 2
eye , 8
equall , 3
scale , 2
weighing , 2
delight , 3
dole , 2
better , 7
wisedomes , 2
freely , 5
followes , 3
thinking , 3
late , 4
colleagued , 2
dreame , 5
aduantage , 2
importing , 3
surrender , 2
valiant , 3
brother , 4
thus , 17
businesse , 8
writ , 5
who , 22
impotent , 2
bedrid , 2
scarsely , 2
heares , 3
further , 7
gate , 3
leuies , 3
out , 26
dispatch , 3
bearing , 2
greeting , 2
old , 10
more , 47
scope , 2
farewell , 8
commend , 4
duty , 5
volt , 3
things , 9
shew , 12
doubt , 7
nothing , 12
heartily , 3
voltemand , 2
cornelius , 3
what's , 5
newes , 6
you? , 6
cannot , 12
reason , 5
dane , 3
offer , 2
asking? , 2
hand , 11
instrumentall , 2
mouth , 4
would'st , 3
laertes? , 2
leaue , 14
fauour , 3
returne , 5
france , 5
coronation , 2
thoughts , 13
wishes , 2
bend , 3
towards , 3
pollonius? , 2
beseech , 3
go , 24
thine , 12
cosin , 2
sonne? , 3
ham , 166
lord , 80
am , 28
too , 32
