Word , Count 
,2073
prepare,2
Rat,3
spoke,2
Memory,1
Conuersation,1
primall,1
pittie,2
reeles,1
Theft,1
Sphere,1
iuyce,1
childe,1
would,56
don'd,1
Starre,4
legs,1
mind;,1
warrant,4
Beautie,4
Aduice,1
sonne:,1
ten,3
vses,3
hoopes,1
Arrow,1
blasts,1
Tetter,1
solid,1
tyrannous,1
competent,1
heares,2
stirre,3
Steele,1
custome,4
Comrade,1
th',25
Dies,1
Diet,1
basenesse,1
motiue,1
left,3
North-West:,1
prophesie,1
Iemme,1
therfore,1
iocond,1
Minerall,1
A,62
hang,3
infinite,3
I,547
Treason,5
Frenchman,1
K,1
O,33
minds,2
Night;,1
impresse,1
opposition,1
flie,1
dish:,1
same,13
Sute,1
businesse,8
stirring,1
after,10
quiet,5
gleane,1
obseruant,1
hand,18
downe;,1
a,435
minde,8
Center,1
salt,3
felicitie,1
rabble,1
Lethe,1
Supper,2
Nights,1
accurst,1
Giuing,2
Ist,1
weeping,1
blood,10
remembred,1
downe:,1
o,5
Marry,9
the,860
straight,2
halt,1
Act,5
Adieu,1
throw,4
vpon't:,1
y,1
mine;,1
thank,1
attended;,1
eies,1
can'st,1
violent,4
back'd,1
Writers,1
thy,83
Rew,2
Scull,6
confront,1
good,73
Malefactions,1
sustaine,1
in't:,2
wheele,3
in't;,2
Ayre,7
til,1
Light,1
houer,1
serious,1
Mettle,2
sourse,1
auoid,1
others,3
laugh,6
tis,1
tush,1
making,2
mortiz'd,1
Seal'd,2
resolue,1
Vnction,2
Yaughan,1
Sinne,1
walkes,1
gone,12
sleepes,3
Polonius,20
familiar;,1
likenesse,1
iust,3
Carpenter,2
cheff,1
wilde;,1
beshrew,1
boorded,1
and't,1
Hercules,3
healthfull,1
link'd,1
earth;,1
anticipation,1
hard,2
lend,4
Age,6
to't,1
Suites,1
creepe,1
worser,1
ask't,1
requite,1
better,14
Answere,1
ha't:,1
neuer,17
speakes:,1
well,51
pleas'd,2
sleepe;,2
Fore,2
Tables;,2
breadth,1
pile,1
walke,9
Dogge,1
'twere,6
deerely,1
sate,3
witching,1
incensed,1
fearing,1
Sword,9
vnforc'd,1
struck,1
Diuinity,2
hate,1
Vowes,1
vnhappily,1
hath,49
warm'd;,1
gaine,1
order,3
pratlings,1
conceit,2
Circumstances,1
went,5
t'would,1
distant,1
hast,26
Clownes,2
gore,1
Lucianus,2
propose,1
co-mingled,1
maruellous,1
bringing,1
fayl'd,1
fearfull,1
sorrie,2
spots,1
Merriment,1
'Twill,1
sledded,1
homage,1
cautell,1
frown'd,1
Corruption,1
Spirits,2
Birch,1
woman,6
coated,1
dearly;,1
rots,1
Ignorance,1
pins,1
toe,2
What's,5
matter,22
Selfe-slaughter,1
sauagenes,1
Sister's,1
Comma,1
Scourge,1
top,7
too,48
Face:,1
venome,1
orderly,1
tythe,1
vnmannerly,1
Euen,7
noise,4
wombe,1
Tropically:,1
toy,2
gaming,3
famous,1
question,9
look'd,2
spirit,3
Neighbor,1
Braines,3
Birds,1
saue,3
Offall,1
warmes,1
picture,1
Layes,1
Drab,1
Fates,1
walkt,1
Postscript,1
Mountebanke,1
Scullion,1
regard,1
Thereto,1
haue,158
Theme,1
rose,1
Wharfe,1
Very,5
She's,1
thousand,8
plaist'ring,1
infect,1
All,14
blason,1
serues,2
thether,1
Angell,2
Dirt,1
defeate,1
Spirit:,1
lets,3
Spheres,1
graces,1
bosome:,1
pray,20
Crow-flowers,1
successiue,1
Amb,1
indiuidible:,1
Deuis'd,1
vnpacke,1
grisly,1
quite,3
time:,1
Angels,3
Sword:,1
Faces,1
Ladies:,2
law,2
Orbe,1
Vnkle,3
lay,6
hatch,1
lest,1
pardon,5
pernicious,1
owne,30
length;,1
Ceremony,1
Pastoricall-Comicall-Historicall-Pastorall:,1
welcom,1
grace;,1
defeats,1
And,257
were,24
aduise,1
Ros,2
desirous,1
Dicers,1
sworn't,1
try,4
platforme,1
sworne,1
became,1
fatted,1
exterior,1
censure,2
greatnesse,1
fierie,1
vnseene,3
seene:,2
holie,1
Function,1
times,6
Paiocke,1
presures,1
deerest,1
heare:,1
disioynt,1
swathing,1
partiall,1
Tragicall-Comicall-Historicall-Pastorall:,1
generous,3
Shouell,1
Whirle-winde,1
That,114
that:,3
wounded,1
Glow-worme,1
whence,1
affrighted,1
should'st,2
aloofe:,1
do'st,1
Their,2
cry,2
bruite,2
Thaw,1
faith:,1
translate;,1
heard:,1
Fellow,3
Cuffes,1
howsoeuer,1
Ape,2
Gentlewoman,1
defectiue,1
spoken,2
Arras,3
sport,1
rowe,1
caught,3
Seat,1
prey,1
Seas,2
Hurts,1
trippingly,1
supply,1
Buriall,2
Portraiture,1
Matter,1
Affection;,1
Denmarkes,1
pith,2
let,55
Then,33
Soueraignty,1
state,4
workes,1
destroy:,2
Head,4
Smoothnesse,1
dilated,1
worke:,1
pace,2
night,25
bloodie,1
exclaim,1
opposite,1
Comes,1
Illium,1
each,8
Hee's,1
Blasting,1
Are,10
powres,1
World's,1
thirty,1
cup,1
intreate,1
warrantie,1
Art,8
cut,1
Sect,1
entertainment,3
document,1
Beene,1
fellow:,1
dread,4
two,20
suffred,1
Denmarke;,1
moment,2
clay,1
shoue,1
Denmarke:,1
drossie,1
does,16
humour,1
pittifull,1
show:,1
Valentine,1
appurtenance,1
show;,1
shout,1
Nature,14
inclination,2
Haply,1
think,3
Against,3
Doomesday:,1
Norman,3
clad,1
flye,4
Phoebus,1
Affection,1
Wee'l,6
dig'd;,1
desires,2
Run,1
noyance:,1
Friends:,2
beating;,1
buzze,1
They,18
doe:,1
Come:,1
speech,12
watch,6
Statutes,1
Patientlie,1
quit,2
moode,1
pluck,1
thing,23
fashion,6
thine,12
demanded,1
Tongue,1
Graue-makers;,1
Morning,1
Gardiners,1
Companies,1
Know,1
tedious,2
lie,1
auoyd,2
thewes,1
Court,2
Taint,1
seriuce:,1
There,13
dying,1
smelt,1
themselues,5
Fortin,1
stuffe;,1
smels,1
they'l,2
This,44
Currants,1
pompe,1
Riuer,1
Loggets,1
suites,1
Creation,1
weepes,1
moneths,2
doubt,6
merit,2
vertuous,1
another:,2
Calues,1
perswade,1
thumbe,1
Pluckes,1
These,10
opposites,1
iawes,1
Region,2
Memorie,2
steepe,1
Puzels,1
assume,2
whereof,1
Farwell,1
desire:,1
full,9
Sables,1
mellow,1
Italian,1
memory,6
away,19
blister,1
immortall,1
Bride-bed,1
Starres,3
house,3
Dignity,1
Feathers,1
currants,1
home:,1
Childe,1
bellow,1
stirr'd,1
witchcraft,2
Others,1
anon,1
opposing,1
'Tis,26
Happy,1
fantasticke,1
start,3
churlish,1
Purpose,1
Venome,1
anothers,1
houre,5
th'art,1
Hecticke,1
Axe,2
Dreame;,1
tenders,3
Pastorall:,1
dishonour,2
short,5
thereabout,1
Fortune,8
euidence,1
falles,3
imitated,1
fencing,1
blastments,1
shew'd,1
Lecture,1
Come,33
Amber,1
Magicke,1
Church:,1
extant,1
Aye,1
Conference,1
three,9
vnpregnant,1
hearer:,1
comes:,2
Gracious,1
Sextons,1
solemne,2
golden,1
Chaplesse,1
Wife,1
season,4
enter,3
pale,5
batten,1
groaning,1
Marriages,1
bloud,2
open'd,1
a-crosse,1
wretch,3
vnlimited,1
Lier,1
Scoena,1
Calfe,1
Miching,1
King:,3
Geulles,1
Scoene,2
Damnation:,1
Dane,4
Mason,2
Verie,3
Tellus,1
Finding,1
Life,2
performe;,1
thirties,1
pitty,1
Iuggel'd,1
Hamlet,94
Barke,1
loe,1
whereon,2
Yong,2
Could,5
paule,1
Oathes,1
ore-teamed,1
Beasts,2
Reuennew,1
Loines,1
Iudge,1
sement,1
lot,1
keene,2
imagine-,1
low,1
throwne,1
grasse,1
gracious,4
manners,1
tristfull,1
Thou,14
truth;,1
meant,4
disclos'd,1
whipping:,1
Priest,3
rusty,1
prythee,4
meane,11
Hearke,1
somthing,1
halfe,4
annexment,1
fellow,5
fetch,2
colour;,1
Greefe,3
traile,1
poysons,1
Marriage;,1
Vnto,3
None,3
Hell,8
Oare,1
commanded,1
extremity:,1
needfull,2
Spokes,1
tell,39
possession,1
Churchyards,1
husband,1
tels,1
proclaime,1
pittied,1
Prince,3
Like,7
keepe,15
denote,1
out-liue,1
celebrated,1
Rossius,1
goodnight,5
wonderfull,2
Yours,1
day,18
Lords,5
Coach:,1
Core,1
drinking,1
Making,1
harrow,1
Lord;,4
o're-heare,1
Lord:,4
Queen,8
minutes,1
aduice,2
vnfortified,1
summe,1
Seemes,2
Conception,1
Youth,2
particular,4
Vncle,3
liued;,1
done,20
water,5
pause,3
Trumpets,2
S[aint],2
annoint,1
intreaty,1
Sprindge,1
Sconce,1
Masse,2
Fruites,1
sparke,1
Resolution,1
Tutor,1
ease,4
Fallies,1
Oath,1
Cuplet,1
part,16
grinding,1
Saw,1
fooles,2
Say,8
daughter:,2
radiant,1
Kings,8
this;,1
Tempt,1
this:,5
Villany,1
dore,1
tend,4
guarded,1
declining,1
Is't,1
hearers,2
Nose,1
Baudry,1
Horatio,38
Wherefore,1
Will,18
thither,2
eare,15
whereto,3
Cerimony,2
glassie,1
frankely,2
slaine,5
sodainely,1
ordinate;,1
built,1
Drum,1
fellowship,1
Ban,1
Bap,3
Bar,7
Bat,1
third,3
confession,2
pettie,1
vaine,1
further,12
Nemian,1
fitting,1
demands,2
sweepe,1
vowes;,1
Wine,1
Heart,4
dearest,1
bodie:,1
vowes:,1
finde,13
dost,7
contracted,1
smiles,1
graue,4
fiery,2
pale:,1
Much,1
Ielly,1
sheene,1
behinde,3
ambiguous,1
That's,6
worth;,1
doth,23
path,1
th'Hyrcanian,1
wisedome,4
crack,1
finds,1
Thus,8
bounds:,1
seruice,4
Button,1
Historie,1
pate,2
dew,2
beautifed,1
adulterate,1
Inuite,1
Day:,1
Officers,2
eate,2
carefully,1
going,2
effects:,1
past,4
Angel,1
mourning,1
Rim'd,1
nonce;,1
strew,1
assignes,1
whose,19
Sea,5
Secunda,2
buyer,1
Line,1
Heare,1
See,4
Here,2
Spleenatiue,1
eats,1
Note,1
Sallets,1
indirections,1
bethought:,1
Ladies,2
Offices:,1
Ser,1
Set,2
bodies,3
Cutpurse,1
Lapwing,1
drag'd,1
scandall,1
Precepts,2
iest,2
Heart;,1
espials,1
bowts,1
adoption,1
damn'd,5
wrong'd,2
ayrie,1
Season,2
Briefe,1
Hazard,1
Y'are,1
Bed,2
mine,40
behoue,1
mind,1
Bee,1
foote,3
Woodcocke,1
right,9
possible,3
conueniently,1
stealing,1
Riotous,1
Priam,4
Norwey,4
touches,1
Sallery,1
obsequious,1
Woodcocks,1
a-sleepe,1
Breake,3
retrograde,1
stage,1
horrible:,1
Storie,1
lye,7
Your,20
waites,1
conuerse;,1
inch,1
Hawke,1
Handsaw,1
assur'd,2
did,49
die,2
Houres,1
deere,17
voyce:,1
conceald,1
Iudges,1
stately:,1
faculty,2
Confines,1
She,9
wretched,4
habit,1
perform'd,1
affaires,1
appear'd,3
vbique,1
bird,1
Happily,1
forgotten,1
Confusion:,1
List,2
grosse,2
stubborne,1
seated,1
amisse,1
greeue,1
seasons,1
suiting,1
Mildew'd,1
bray,1
Phrase,4
Rouce,1
hideous,1
Fire:,1
feast,1
parching,1
Brooke,2
o'retooke,1
month,1
mowes,1
remaines,3
Sir,40
Dar'd,1
truant,1
Sit,1
distract,1
occasion,1
rather,4
Capitol:,1
worthy,1
back,1
Lady,9
With,42
alwayes,2
delights,3
pound,1
strew'd,1
load,1
ther's,1
Morne,2
mad;,1
mad:,1
company,1
Voltemand,3
Children,3
Bid,1
Million,1
applaud,1
Steward,1
Appeares,1
'Gainst,1
Withdraw,1
ayres,1
length,3
Fennell,1
grand,1
Wise,1
vnsmirched,1
Maids,3
tragedie,1
coniectures,1
Condolement,1
sokes,1
interpret,1
feare,15
blankes,1
Clowds,1
blanket,1
Letcherous,1
grant,1
Racke,1
horrors:,1
Comedie,2
Plautus,1
coniunctiue,1
fore-stalled,1
do:,3
stale,1
Sonnes,2
watcht,1
know:,2
whereat,1
Sonnet,1
goodly,3
Lawyer,1
Primus,1
fear,1
Hearsed,1
heeles,4
vp-hoorded,1
Laer,60
made,29
lispe,1
Seale,1
Foyles:,1
sense,2
Beauties,1
being,9
palme,1
deeme,1
Yases,1
knowe,1
certaintie,1
Mutes,2
Motiue,3
Reynol,13
Animals;,1
beleeue;,1
calmes,1
qualifies,1
Nunnerie,1
bleede,1
shold,1
Sicknesse,1
curse,1
Farewell:,3
doe,42
Sonne;,1
Recognizances,1
fool:,1
skin,1
deepe,3
bespeake,1
Tragicall-Historicall:,1
Obiects,1
Writ,2
mad,15
known,1
loued,3
poure,1
blackest,1
beleeued,1
fee;,1
Soueraigne,3
man,40
stand,11
leisure,1
twenty,2
space;,1
Purse,1
loue:,2
may,56
insinuation,1
forward,1
Iustice,1
Adams,1
noyse,2
lacks,1
Roman,1
blest,2
foole,4
driues,1
parley,1
yesty,1
Gramercy,1
lacke,4
Modestie,1
woe:,1
warlike,3
Pastors,1
vngorg'd,1
driuen,1
Organ,1
reforme,1
Goblins,1
Snow,4
bait,1
plac'd,1
Battalians,1
Abridgements,1
sweete,1
Trade,2
soultry,2
o'reway,1
lungs,1
reueng'd,2
residence,1
Here's,2
terrible,1
Eares,1
likes,3
cries,4
like:,2
waste,2
Addition,1
me;,9
me:,9
Heathen,1
bearing,1
loues,3
Walkes,1
Rascall,1
dry,2
pressure,1
Bow,2
Recoueries,1
Boy,1
brood,1
becomes,1
Brooch,1
Winds,1
feed,3
staid,3
woer,1
directions,1
Arme,2
stiffely,1
ne're,1
euerie,1
Obey,1
Wall,1
Spade,2
Drugges,1
Quietus,1
Winde,2
plentifull,1
Prouidence,1
mee,7
aduenturous,1
blurres,1
louing,3
Polititian,1
breath,13
Ingenious,1
Directly,1
Bubbles,1
Clowne,3
Pride,1
consonancy,1
compos'd,1
hither,8
men,8
threats,1
Ministers,1
clouts,1
necke,2
met,1
make,45
Sourse,1
Chronicles,1
wicked,5
opposed,1
rebuke,1
conceiue,1
pick'd,1
exactly,1
Mountaine,3
admittance,1
Heraldry,1
comming,4
Norway,4
Confine,1
plac't,1
due,1
winkes,1
lodge,1
grossely,1
mercy,3
Owner,1
dotes,1
Hebenon,1
dispriz'd,1
enters,1
heerein,4
about,16
wilfully,1
Volt,2
curd,1
sorrow,4
cure,1
History,1
danger,4
Must,5
crash,1
patch,1
coile,1
winch:,1
man;,1
man:,1
concernings,1
brow,3
contriuing,1
Earth;,1
Graue-making,1
Marriage,4
Thence,2
moderate,1
aboord:,1
peeuish,1
flourishes,1
Elsenour,1
Poesie,1
beaten,1
belieue,1
Sun,3
murdrous,1
Land,5
quality,1
sleepe,7
drowne,5
highest,1
Widdow,1
Mirrour,1
shuffling,2
sober,1
[The,1
mouth'd,1
Chace,1
Office,1
worlds,1
Vnckle,3
Aduancement,1
lone,1
March,3
long,13
Willes,1
sticke:,1
remember,6
fell,6
into,23
defie,1
fatnesse,1
scarsely,1
doe's,1
Maiden,2
bloudy:,1
dil'd,1
Distilment;,1
But,103
dirty,1
Heau'n,2
Capons,1
middle,2
though,16
for's,2
rais'd,1
wold,1
seeke,7
mans,5
stickes,1
vnrung,1
holde,1
many,15
Madnesse:,1
fauour,3
stay,7
Meanes,1
Reuenge,8
dye,5
enurn'd,1
brest:,1
impart,4
Reply,1
holds,4
last:,1
Rapiers,3
open,2
Hammes,1
lasts,1
behauiour,1
suffering,1
prankes,1
dumbe,6
lockt,1
affectation,1
Melancholly,2
Last,2
tread,1
Wash,1
Apparition,2
roughly,1
First,1
bare,2
fretfull,1
perdie,1
repell,1
beard,2
beare,12
Ore-beares,1
wont,3
William,1
conquest,1
look,5
Rome-,1
assurance,2
Kin,14
yawne,1
grounds,1
pestilent,2
scapes,1
needes,1
diseas'd,1
counterfet,1
Rouse,1
Pearle,1
locke,3
farewell,5
Trophies,1
appliance,1
Arrest,1
Prima,1
stooping,1
braz'd,1
knocke,1
proper,2
Circumstance,3
Time,6
beast,1
bitter,3
Whether,3
speed,4
Attendants,2
Honest,1
admit,1
orewhelm,1
auouch,1
common,8
King's,1
Maiesty,7
ouerlook'd,1
he's,4
Pul'd,1
Flourish,2
Shippe,1
stocke,1
Law;,1
Rites,2
chaste,1
pace;,1
Confession,1
whil'st,2
beats,1
boord,1
giuing,1
Neither,2
tan'd,1
ground:,3
Primy,1
Burning,1
Dogges,1
Till,10
Chappell,2
greefe,7
money,1
Armour,2
richer,1
Ioyntresse,1
knockt,1
Speech,3
step,2
aboue,4
mark,1
sinnewes,1
muddied,1
base,4
Fruite,1
beame,1
bounteous,1
refraine,1
booke,1
Beware,1
iustly,3
whole,8
fingers,2
coppied,1
Sindging,1
lost,6
too't,5
for't:,2
Akers,1
trifling,1
bedded,1
rul'd,2
Hoby-horse,1
Trumpet,4
venom'd,1
Deske,1
still,12
Vertue,11
worm,1
Complie,1
work,1
Soop-stake,1
lose,4
Churches,1
wot:,1
peace-parted,1
Hymen,1
Challice,1
buried:,1
Gertrude:,2
toward,4
left:,1
knowing,1
Willow,1
Ardure,1
gorge,1
sence,2
wore,1
word,8
slaue,3
blench,1
gender,1
tongue,11
fortie,1
forehead,2
Roaming,1
secret,4
Birth,1
confin'd,1
throwing,1
againe;,2
againe:,3
Arraigne,1
peace:,2
halfepeny;,1
congregation,1
replication,1
loud,1
loue,43
repent,1
Thunder,2
Sings,1
perfections,1
sting,2
haste,2
promise-cramm'd,1
sends,3
hauiour,1
Cornelius,4
altogether,1
Marke,5
did'st,2
perceiued,1
duller,1
Ossa,1
Pledge,1
farwel,1
voice,1
faile;,1
promis'd,2
vnweeded,1
Element:,1
Giuen,1
Lamound,1
craft,2
Offenders,1
It's,1
Cause,1
Tree,1
Trick'd,1
Honourable,2
Rauen,1
sharpe,1
Tenures,1
lowd,1
Payes,1
Chanson,1
peruse,1
talke,2
milche,1
mining,1
Resolutes,1
Remembrances,1
seeme,8
Greekes,1
vnskilfull,1
estimation,1
Can,2
Cap,3
shipped,1
Cat,1
Vnhand,1
Stoopes,1
Giues,3
prettinesse,1
Argument,2
enterprizes,1
clouds,2
elder,1
estate:,1
seene,18
enmity,1
Wife;,1
knotty,1
Lions,1
spend,1
Cataplasme,1
extinct,1
Since,6
benetted,1
dyed,2
Enemies:,1
anticke,1
heartily,2
a'th',2
daintier,1
Complexion,2
wheaten,1
Summons,1
command,6
Deliberate,1
Crowners,1
Lazar-like,1
pitteous,1
variable,2
Newtrall,1
greene,1
behauior,1
seduce,1
exception,1
Cicatrice,1
hands,9
liberall,3
desperate,5
allowed,2
Heart-ake,1
Inheritance,1
faire,18
Seale:,1
bloudie,1
Politician,1
Th',8
vnholy,1
Resembles,1
Obserue,2
because,1
silence,5
Lunacie,1
spight,1
pitious,1
Secrecie,1
Gallant,1
timbred,1
Exchange,1
ragges,1
Sheep-skinnes,1
stop,2
Where,22
God-a-mercy,1
iudgement:,1
beware,1
sonne,1
vngracious,1
Houses,1
Meet,1
Hypocrites,1
Ah,2
speakes,2
least,2
Obseruers,1
deepely,1
immediately,1
Al,1
Am,2
returne,5
sayes:,1
An,5
Machine,1
twaine,2
Beer,1
The,132
As,63
At,12
coniure,1
Sprinkle,1
Proclaimes,1
Quillets,1
outragious,1
vnhatch't,1
Alarum,1
Sundaies:,1
accidentall,1
Takes,1
Buzzers,1
brands,1
Be,16
Thy,7
slay,1
stung,1
Taken,1
Functions,1
neck,1
Soft,3
Audit,1
sworne:,1
newes,4
sayest,1
By,15
Visitation,2
Beards;,1
iudgements,2
knaue,4
Normandy,1
sweet,19
Tis,4
Take,10
Soldiers,3
notes,1
Greefes:,1
Conscience;,1
eager,1
vulgar:,1
Vntill,1
faine,3
betime,1
spring,1
afarre,1
remedie,1
female,1
Iigge-maker:,1
Imperiall,1
surrender,1
had'st,1
need,1
meaning:,1
wrote,2
often,2
blazes,1
gather,3
Do,19
els,2
doest,1
Worse,1
Ratifiers,1
Little,1
loose,4
leaue,23
loathsome,1
crawling,1
hardly,1
thorny,1
lasting,2
rises,2
vp:,1
Swords:,1
perturbed,1
yeeld,1
kicke,1
liest,2
sleeping,3
censure;,1
Goodman,1
Seales,1
Signet,1
Mouth,1
end,16
Compact,1
lines,2
forty,1
Businesse,2
mistake,1
Tale,3
panders,1
vnion,1
Fellowship,1
rich,2
damne,1
Himselfe,1
praise,3
ouerthrowne,1
obseruance:,1
noted,1
assay:,1
ioyne,2
vouch,1
Mouse,2
Ignorance;,1
sweat,2
forgeries,1
pronounce,1
Wantonnesse,1
Hold,4
Sheepe,1
slightly,2
winking,1
springs,1
told,5
Caesar,2
Clo,29
Go,12
demy-Natur'd,1
Enuy,1
Musick,1
Rogue,2
hower,3
turne,4
Song,1
Ha,5
priuates,1
narrow,1
leasure,1
stubbornnesse,1
vs:,2
He,40
right:,1
right;,1
vs;,2
shape,6
Forrest,1
recouer,3
Ho,1
nay,1
Voyage,1
Student,1
forth,4
quarry,1
ayde:,1
Drown'd,2
Some,3
ar't,1
Sergeant,1
Too,3
Bels,1
Madam,12
Vnlesse,1
Gifts,2
dar'st,1
Bell,2
If,47
euill,2
Exeunt,23
tong,1
Shardes,1
In,41
Bene,1
against,17
vse,12
chariest,1
Is,23
find'st,1
It,64
done:,1
Strengthen,1
vapours,1
too:,2
weake,2
browes,1
heate;,1
tormenting,1
does:,1
yours;,1
rights,1
yours:,1
ere,11
Mens,1
share,1
Alarme,1
obstinate,1
Fishmonger,1
Ministring,1
Vouchers,2
must:,1
new-borne,1
womens,1
Respeaking,1
