the , 579
tragedie , 2
of , 354
julius , 1
caesar , 190
by , 100
william , 1
shakespeare , 1
1599 , 1
 , 2887
actus , 5
primus , 1
scoena , 1
prima , 1
enter , 64
flauius , 5
murellus , 2
and , 627
certaine , 6
commoners , 2
ouer , 8
stage , 1
hence , 12
home , 12
you , 390
idle , 3
creatures , 2
get , 11
is , 250
this , 166
a , 258
holiday , 1
what , 126
know , 68
not , 256
being , 10
mechanicall , 1
ought , 4
walke , 7
vpon , 47
labouring , 1
day , 44
without , 5
signe , 4
your , 149
profession , 1
speake , 35
trade , 6
art , 25
thou , 115
car , 1
why , 43
sir , 23
carpenter , 1
mur , 5
where , 32
thy , 56
leather , 2
apron , 1
rule , 2
dost , 7
with , 149
best , 12
apparrell , 1
on , 81
are , 109
cobl , 2
truely , 2
in , 225
respect , 7
fine , 1
workman , 1
i , 530
am , 57
but , 141
as , 133
would , 44
say , 37
cobler , 2
answer , 10
me , 187
directly , 9
cob , 4
that , 285
hope , 3
may , 37
vse , 10
safe , 4
conscience , 1
which , 47
indeed , 9
mender , 1
bad , 12
soules , 5
fla , 5
knaue , 4
naughty , 1
nay , 6
beseech , 3
be , 147
out , 27
yet , 42
if , 84
can , 19
mend , 2
meanst , 1
mee , 4
sawcy , 2
fellow , 13
cobble , 1
truly , 6
all , 109
liue , 16
aule , 1
meddle , 1
no , 93
tradesmans , 1
matters , 3
nor , 24
womens , 1
withal , 1
surgeon , 1
to , 446
old , 8
shooes , 2
when , 67
they , 65
great , 26
danger , 3
recouer , 1
them , 60
proper , 3
men , 64
euer , 16
trod , 1
neats , 1
haue , 147
gone , 10
my , 209
handyworke , 1
wherefore , 5
shop , 1
leade , 7
these , 39
about , 19
streets , 8
weare , 4
their , 61
selfe , 39
into , 14
more , 34
worke , 9
indeede , 2
we , 95
make , 26
holyday , 2
see , 37
reioyce , 3
his , 157
triumph , 4
conquest , 3
brings , 3
he , 176
tributaries , 1
follow , 14
him , 166
rome , 38
grace , 4
captiue , 1
bonds , 1
chariot , 2
wheeles , 1
blockes , 1
stones , 3
worse , 4
then , 107
senslesse , 1
things , 17
o , 69
hard , 8
hearts , 12
cruell , 3
knew , 3
pompey , 4
many , 15
time , 25
oft , 3
climbd , 1
vp , 32
walles , 1
battlements , 1
towres , 1
windowes , 3
yea , 4
chimney , 1
tops , 1
infants , 2
armes , 4
there , 48
sate , 1
liuelong , 1
patient , 4
expectation , 1
passe , 6
saw , 7
appeare , 7
made , 17
an , 33
vniuersall , 1
shout , 5
tyber , 5
trembled , 1
vnderneath , 2
her , 11
bankes , 2
heare , 38
replication , 1
sounds , 1
concaue , 1
shores , 3
do , 119
now , 63
put , 16
attyre , 1
cull , 1
strew , 1
flowers , 1
way , 14
comes , 15
pompeyes , 6
blood , 24
runne , 4
houses , 2
fall , 11
knees , 2
pray , 7
gods , 25
intermit , 1
plague , 1
needs , 1
must , 36
light , 4
ingratitude , 2
go , 41
good , 70
countrymen , 11
for , 176
fault , 4
assemble , 1
poore , 8
sort , 3
draw , 2
weepe , 6
teares , 4
channell , 1
till , 22
lowest , 1
streame , 2
kisse , 3
most , 28
exalted , 2
exeunt , 22
basest , 1
mettle , 5
moud , 7
vanish , 1
tonguetyed , 1
guiltinesse , 1
downe , 23
towards , 2
capitoll , 17
will , 163
disrobe , 1
images , 3
finde , 17
deckt , 1
ceremonies , 4
so , 139
it , 198
feast , 2
lupercall , 2
matter , 10
let , 64
hung , 2
caesars , 38
trophees , 1
ile , 13
driue , 2
away , 18
vulgar , 1
from , 49
too , 30
perceiue , 5
thicke , 2
growing , 2
feathers , 1
pluckt , 3
wing , 2
flye , 11
ordinary , 3
pitch , 1
who , 28
else , 13
soare , 1
aboue , 3
view , 1
keepe , 10
vs , 62
seruile , 1
fearefulnesse , 1
antony , 75
course , 6
calphurnia , 8
portia , 13
decius , 17
cicero , 11
brutus , 161
cassius , 85
caska , 32
soothsayer , 4
after , 11
