Word ,  Count 
the , 647
tragedie , 2
of , 338
macbeth , 62
by , 49
william , 1
shakespeare , 1
1603 , 1
 , 2441
actus , 5
primus , 1
scoena , 1
prima , 5
thunder , 9
and , 545
lightning , 2
enter , 81
three , 13
witches , 8
1 , 32
when , 40
shall , 68
we , 83
meet , 7
againe , 21
in , 199
or , 37
raine , 1
2 , 20
hurleyburleys , 1
done , 35
battailes , 1
lost , 6
wonne , 2
3 , 20
that , 227
will , 72
be , 137
ere , 15
set , 7
sunne , 3
where , 36
place , 11
vpon , 58
heath , 2
there , 39
to , 383
with , 153
i , 331
come , 54
graymalkin , 1
all , 96
padock , 1
calls , 3
anon , 7
faire , 6
is , 180
foule , 5
houer , 1
through , 6
fogge , 1
filthie , 2
ayre , 14
exeunt , 30
scena , 22
secunda , 5
alarum , 5
within , 17
king , 52
malcome , 1
donalbaine , 7
lenox , 28
attendants , 6
meeting , 5
a , 239
bleeding , 2
captaine , 1
what , 106
bloody , 15
man , 33
he , 110
can , 25
report , 9
as , 89
seemeth , 1
his , 146
plight , 1
reuolt , 2
newest , 3
state , 7
mal , 25
this , 104
serieant , 1
who , 43
like , 40
good , 48
hardie , 1
souldier , 4
fought , 2
gainst , 4
my , 203
captiuitie , 1
haile , 13
braue , 2
friend , 5
say , 39
knowledge , 3
broyle , 1
thou , 87
didst , 4
leaue , 12
it , 161
cap , 3
doubtfull , 2
stood , 4
two , 10
spent , 2
swimmers , 1
doe , 38
cling , 2
together , 5
choake , 1
their , 62
art , 18
mercilesse , 1
macdonwald , 1
worthie , 1
rebell , 2
for , 109
multiplying , 1
villanies , 1
nature , 20
swarme , 1
him , 90
from , 57
westerne , 1
isles , 1
kernes , 3
gallowgrosses , 1
supplyd , 1
fortune , 7
on , 58
damned , 3
quarry , 2
smiling , 1
shewd , 2
rebells , 1
whore , 1
but , 120
alls , 4
too , 30
weake , 2
well , 33
hee , 8
deserues , 2
name , 14
disdayning , 1
brandisht , 1
steele , 2
which , 80
smoakd , 1
execution , 3
valours , 1
minion , 1
carud , 1
out , 26
passage , 2
till , 20
facd , 1
slaue , 3
neur , 1
shooke , 1
hands , 12
nor , 24
bad , 5
farwell , 2
vnseamd , 1
naue , 1
toth , 6
chops , 1
fixd , 1
head , 9
our , 123
battlements , 2
o , 17
valiant , 4
cousin , 2
worthy , 16
gentleman , 3
whence , 6
gins , 1
reflection , 1
shipwracking , 1
stormes , 1
direfull , 1
thunders , 1
so , 96
spring , 2
comfort , 5
seemd , 3
discomfort , 2
swells , 1
marke , 3
scotland , 12
no , 67
sooner , 2
iustice , 3
had , 34
valour , 4
armd , 2
compelld , 1
these , 23
skipping , 1
trust , 4
heeles , 2
norweyan , 3
lord , 38
surueying , 1
vantage , 3
furbusht , 1
armes , 2
new , 12
supplyes , 1
men , 16
began , 3
fresh , 1
assault , 1
dismayd , 1
not , 165
captaines , 1
banquoh , 1
yes , 2
sparrowes , 1
eagles , 1
hare , 1
lyon , 2
if , 42
sooth , 2
must , 36
they , 70
were , 39
cannons , 1
ouerchargd , 1
double , 11
cracks , 1
doubly , 1
redoubled , 1
stroakes , 2
foe , 1
except , 1
meant , 1
bathe , 1
reeking , 1
wounds , 3
memorize , 1
another , 6
golgotha , 1
cannot , 20
tell , 10
am , 30
faint , 1
gashes , 3
cry , 9
helpe , 6
thy , 56
words , 10
become , 4
thee , 61
smack , 1
honor , 10
both , 18
goe , 15
get , 9
surgeons , 1
rosse , 49
angus , 6
comes , 13
here , 17
thane , 25
haste , 1
lookes , 2
eyes , 11
should , 41
looke , 23
seemes , 5
speake , 29
things , 23
strange , 16
god , 13
saue , 1
camst , 1
fiffe , 1
great , 31
banners , 2
flowt , 1
skie , 1
fanne , 1
people , 4
cold , 6
norway , 2
himselfe , 8
terrible , 5
numbers , 2
assisted , 1
most , 23
disloyall , 1
traytor , 1
cawdor , 21
dismall , 3
conflict , 1
bellonas , 1
bridegroome , 1
lapt , 1
proofe , 1
confronted , 1
selfecomparisons , 1
point , 5
against , 14
rebellious , 2
arme , 4
curbing , 1
lauish , 1
spirit , 3
conclude , 1
victorie , 1
fell , 8
vs , 55
happinesse , 1
now , 53
sweno , 1
norwayes , 1
craues , 1
composition , 1
would , 47
deigne , 1
buriall , 1
disbursed , 1
at , 52
saint , 1
colmes , 1
ynch , 1
ten , 5
thousand , 4
dollars , 1
generall , 4
vse , 6
more , 50
deceiue , 1
bosome , 4
interest , 1
pronounce , 4
present , 8
death , 20
former , 5
title , 5
greet , 2
ile , 35
see , 31
hath , 52
noble , 13
tertia , 5
hast , 8
beene , 11
sister , 2
killing , 1
swine , 1
saylors , 1
wife , 34
chestnuts , 1
her , 43
lappe , 1
mouncht , 3
giue , 24
me , 113
quoth , 1
aroynt , 1
witch , 1
rumpefed , 1
ronyon , 1
cryes , 2
husbands , 1
aleppo , 1
gone , 8
master , 5
oth , 13
tiger , 2
syue , 1
thither , 5
sayle , 1
rat , 1
without , 14
tayle , 1
winde , 4
thart , 1
kinde , 3
selfe , 32
haue , 122
other , 15
very , 11
ports , 1
blow , 4
quarters , 1
know , 33
ith , 15
shipmans , 1
card , 1
dreyne , 1
drie , 1
hay , 1
sleepe , 23
neyther , 2
night , 29
day , 19
hang , 8
penthouse , 1
lid , 1
liue , 10
forbid , 2
wearie , 2
seunights , 1
nine , 4
times , 4
dwindle , 1
peake , 1
pine , 2
though , 17
barke , 1
yet , 57
tempesttost , 1
shew , 16
pilots , 1
thumbe , 1
wrackt , 1
homeward , 1
did , 41
drum , 4
drumme , 4
doth , 6
weyward , 3
sisters , 7
hand , 23
posters , 1
