Word , Count 
damne,2
ophel,3
follow,19
diseases,2
demand,3
queene,37
beetles,2
sister,8
begge,7
fauours:,2
former,3
tutor,2
labour,3
sides;,2
pleasant,2
gentlemen,12
pickhaxe,2
requiem,2
schoole,2
suite,3
witchcraft,3
arme;,2
repulsed,2
famous,2
turn'st,2
raw,2
barke,2
stately:,2
pastors,2
stopes,2
creepe,2
stages,2
prouinciall,2
thee,56
fain,2
caution:,2
intreated,2
hard,3
welcome,14
rant,2
bonds,3
can:,2
maruell,2
reuennew,2
seat,2
carry,4
thorny,2
euill,3
iocond,2
cleare,2
speciall,4
moderate,2
strawes,2
easier,2
speedier,2
rowe,2
return'd,5
leuies,3
lack'd,2
therefore,15
rude,3
capeable,3
trauaile,2
reuerend,2
brazon,2
'twas,6
realme,2
falne,3
rouce,2
conuersation,2
botch,2
messengers,2
wretched,5
their,49
end;,2
lordship,7
none:,3
presently,6
plots,3
broakers,2
deuice,2
closely,2
priam,5
pay,4
brooke,3
vowes,4
mercy,5
arrant,3
fate,3
sundaies:,2
weepe,5
mother,38
distinguish,2
rank,2
distresse,2
necessaries,2
crowing,2
danskers,2
peece,7
priams,2
vapours,2
ignorant,3
they'l,3
guifts,2
cherube,2
infects,2
for's,3
shatter,2
look,6
a-while,4
fit,13
see's,2
withdrew,2
foresaid,2
offendendo,2
shepheards,2
fairely,2
carnall,2
man:,2
next,5
carters,2
ile,59
bee,17
mainly,2
aye,3
knotty,2
voltemand,4
flowers:,2
ennactors,2
drown'd,7
whose,28
stealing,2
was't,4
said;,2
mantle,2
perfume,2
midnight,2
encounter,3
beame,2
shooes,3
deepe,4
primrose,2
name;,2
iustice,2
distant,2
churches,2
gis,2
remoue,2
aspect,2
scul,2
ther's,2
lookes;,2
pluck,3
gulfe,2
crosse,2
returne,6
defence,2
quickly,2
must,58
weighing,2
ran,2
offence,9
seemes,8
carowses,2
potently,2
top:,2
entreatments,2
more;,2
tragedie,5
either,5
tremble,3
fortunes,7
cruell,3
pate,5
lord;,5
powerfully,2
pace;,2
porpentine:,2
sallets,2
landlesse,2
saying,2
ghosts,2
courtiers,3
slaue,6
friendship,3
forbid,3
welcom,2
reynol,14
think,5
denies,2
ro,2
gone:,2
go,49
meete,5
diddest,2
many,16
yesternight,2
heauen,40
range,2
fire,10
towring,2
massie,2
clothes,2
armour,3
lights,5
astonish,2
find'st,2
wil,5
difference,2
whit,2
way:,2
follow:,2
once;,3
arras,4
cressant,2
cat,2
but,250
clad,2
action,11
eldest,2
pole,2
practise,2
pardon't,2
somthing,2
tweakes,2
lie,2
powers,3
truly,6
ar't,2
remain,2
cannons,2
forrest,2
patricke,2
yours:,2
brothell,2
wits,7
pretty,3
iust,4
lesser,2
hurt,3
whispers,2
gray,2
speake:,4
t'would,2
adieu,2
libertine,2
afternoone;,2
soldiers,4
worth;,2
suspiration,2
iaw,2
escape,3
scant,2
directly,2
vnhouzzled,2
hate,2
interim's,2
saue,6
why,60
lookes,6
gau't,2
wrist,2
late,11
vs;,3
out:,3
vsuall,2
loues,6
validitie:,2
baby,3
floud,2
buy'ye:,2
clout,2
alone,9
presentment,2
somnet,2
playd,2
count,5
what's,12
voice,3
melt,3
third,4
a-downe,2
stoppes,2
blackest,2
feare:,2
blasted,3
liues,4
poore,21
dire,2
informe,2
gates,2
there;,4
wise,3
talk'd,2
am,53
comming,5
ioynt:,2
ayre:,2
stayes,2
then,106
dew:,2
earth;,3
potion:,2
primus,2
supper,3
for;,2
officers,3
sits,4
grandsire,2
entrance,2
ayme,2
feete,2
amen,2
do:,4
dogges,2
sting,3
wrong,7
murder,4
tables,2
enterprizes,2
comment,2
glad,5
guild,21
daintier,2
wot:,2
kill'd,5
againe,30
osr,19
sadnesse,2
trippingly,2
mason,3
loines,2
disclos'd;,2
heres,2
struck,2
could,32
vile,2
steward,2
partiall,2
mart,2
is,312
thinke't,2
neede,4
plaine,2
appurtenance,2
that:,4
cease,3
shoulder,2
vnmatch'd,2
swift,3
sement,2
organ,2
enemie,2
children,4
resort,2
